Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 15428,61.7,8.3,22.5
ZCTA5 15429,63,7.1,20.9
ZCTA5 15430,63,5.2,29.6
ZCTA5 15431,52.7,13.2,20.9
ZCTA5 15432,44.8,17.2,23.1
ZCTA5 15433,42.3,12.6,29
ZCTA5 15434,44.4,10.3,34.9
ZCTA5 15435,52.7,4.6,31.3
ZCTA5 15436,50.6,10.8,27.8
ZCTA5 15437,55.4,5.7,30.4
ZCTA5 15438,46.1,14.2,32.4
ZCTA5 15440,45.6,10.6,26.3
ZCTA5 15442,51,7.1,27.8
ZCTA5 15443,82.4,0,0
ZCTA5 15444,28.4,15.1,20.7
ZCTA5 15445,47.6,10.5,31.3
ZCTA5 15446,46.3,19,15.2
ZCTA5 15447,33.3,16.7,50
ZCTA5 15448,45.2,15.7,39.1
ZCTA5 15449,31.2,13.8,33.5
ZCTA5 15450,12.1,8.5,73.3
ZCTA5 15451,53.9,9.2,30.2
ZCTA5 15454,36,46.7,0
ZCTA5 15455,38.4,13.8,28.5
ZCTA5 15456,48.4,9,31
ZCTA5 15458,58,8.5,27.1
ZCTA5 15459,44.5,11.3,29.8
ZCTA5 15460,43.2,2.7,50
ZCTA5 15461,40.9,15.5,28.6
ZCTA5 15462,20,3.1,51.9
ZCTA5 15463,-,-,-
ZCTA5 15464,51.9,5.4,29
ZCTA5 15466,50.7,11.8,30.8
ZCTA5 15467,72,5.1,14.4
ZCTA5 15468,43.1,17,26.1
ZCTA5 15469,53.2,12.5,24.4
ZCTA5 15470,81.1,6.3,9.1
ZCTA5 15472,0,51.2,43.3
ZCTA5 15473,57.3,11.2,20.8
ZCTA5 15474,52.2,9.8,32.1
ZCTA5 15475,45.8,13,33
ZCTA5 15476,41.2,28.2,12.9
ZCTA5 15477,50.5,7.8,32.1
ZCTA5 15478,53.5,7.4,25.8
ZCTA5 15479,60.9,5.8,25.6
ZCTA5 15480,63.7,9.3,17
ZCTA5 15482,37.8,18,32.8
ZCTA5 15483,63.5,6.1,23.5
ZCTA5 15484,56.5,5.8,15.9
ZCTA5 15486,55.3,10.9,25.3
ZCTA5 15489,69.7,6.1,13.7
ZCTA5 15490,61.5,13.2,23
ZCTA5 15492,26.3,12.8,44.9
ZCTA5 15501,48.5,12.9,26.9
ZCTA5 15502,41.8,12.7,18.2
ZCTA5 15510,10.6,16.9,65.8
ZCTA5 15520,56.6,14.8,21.4
ZCTA5 15521,56.6,6.7,27.4
ZCTA5 15522,54.4,10.1,22.7
ZCTA5 15530,59.4,8.1,22
ZCTA5 15531,60.4,9.5,22.8
ZCTA5 15532,55.9,11.2,32.9
ZCTA5 15533,56,9.7,24.8
ZCTA5 15534,56.7,7.9,25.1
ZCTA5 15535,60,10.1,20.6
ZCTA5 15536,57,12.3,23.9
ZCTA5 15537,54.8,11.1,22.5
ZCTA5 15538,63.2,4.3,24.7
ZCTA5 15539,59.1,0,35.5
ZCTA5 15540,66.7,7.5,22.1
ZCTA5 15541,55.9,9.2,25.5
ZCTA5 15542,57.3,10.7,24.9
ZCTA5 15544,100,0,0
ZCTA5 15545,61,6.9,21.2
ZCTA5 15546,23.9,22.8,35
ZCTA5 15547,50.6,16.3,28.2
ZCTA5 15550,55.6,10.1,24.2
ZCTA5 15551,71.6,6.4,14.2
ZCTA5 15552,55.9,7.1,25.7
ZCTA5 15554,52.6,11.6,24.5
ZCTA5 15555,49,21,27
ZCTA5 15557,58.3,7.4,25
ZCTA5 15558,52.6,7.6,29
ZCTA5 15559,60.5,11.7,20.6
ZCTA5 15560,53.6,17.9,19.2
ZCTA5 15561,44.1,10.5,31.5
ZCTA5 15562,65.2,3.2,26.6
ZCTA5 15563,58.9,9.8,21.8
ZCTA5 15564,67.4,0,17.4
ZCTA5 15601,51.8,10,28.3
ZCTA5 15610,67.9,7.8,19.4
ZCTA5 15611,38.9,5.3,53.5
ZCTA5 15612,42.3,31.5,16.2
ZCTA5 15613,57.3,8.9,22.2
ZCTA5 15615,56.1,12.1,31.8
ZCTA5 15616,-,-,-
ZCTA5 15617,43.5,16.5,30.5
ZCTA5 15618,53.2,10.1,26
ZCTA5 15620,59.9,13.2,25
ZCTA5 15621,0,0,100
ZCTA5 15622,49.3,5.9,34.4
ZCTA5 15623,59.4,2.5,22.5
ZCTA5 15624,57,5.6,35.7
ZCTA5 15625,77,10.6,0
ZCTA5 15626,56.5,13.5,20
ZCTA5 15627,55.2,10.5,25.3
ZCTA5 15628,46.3,13.1,32
ZCTA5 15629,38.2,13.9,36.5
ZCTA5 15631,45.1,16.7,27.5
ZCTA5 15632,57.8,8.3,26.9
ZCTA5 15633,43.5,10.6,32.3
ZCTA5 15634,31.9,15.4,43.3
ZCTA5 15635,27,10.1,55.3
ZCTA5 15636,64.6,5.8,24.2
ZCTA5 15637,52.3,13.6,25.3
ZCTA5 15638,53.9,9.3,32.8
ZCTA5 15639,61.6,6.5,22.1
ZCTA5 15640,63.8,5.8,24.3
ZCTA5 15641,45.1,11.9,29
ZCTA5 15642,61.1,6.9,23.3
ZCTA5 15644,52.7,11.2,26.4
ZCTA5 15646,50,11.4,31.3
ZCTA5 15647,73.8,11.3,7.6
ZCTA5 15650,51.7,10.3,28.4
ZCTA5 15655,68.7,6.8,21.1
ZCTA5 15656,54.4,10.1,25
ZCTA5 15658,62.9,8,19.3
ZCTA5 15660,39.4,16.2,39.7
ZCTA5 15661,33.6,15.9,44.2
ZCTA5 15662,100,0,0
ZCTA5 15663,63.6,12.7,13.1
ZCTA5 15665,47.1,13.5,27.9
ZCTA5 15666,54.9,11.2,24.2
ZCTA5 15668,66.6,5.9,18
ZCTA5 15670,60.6,10,19.7
ZCTA5 15671,72.2,13.5,12.8
ZCTA5 15672,60,10.1,22.3
ZCTA5 15673,53.2,9.6,26.6
ZCTA5 15675,34.7,7.9,54.7
ZCTA5 15676,44.1,12.5,16.8
ZCTA5 15677,64,5.8,27.5
ZCTA5 15678,48.7,2.4,39.1
ZCTA5 15679,49.1,13.2,27.9
ZCTA5 15680,54.8,0,21.8
ZCTA5 15681,55.4,9.5,26.7
ZCTA5 15683,51.9,12.3,26.2
ZCTA5 15684,50.8,21.5,22.4
ZCTA5 15686,63.1,6.4,22
ZCTA5 15687,59.2,5.7,27.1
ZCTA5 15688,61.7,8.4,22.7
ZCTA5 15689,27.2,11.7,38.8
ZCTA5 15690,47.9,10.7,29.1
ZCTA5 15691,0,0,48.7
ZCTA5 15692,71.9,2.5,24.3
ZCTA5 15693,67.3,10,12.7
ZCTA5 15695,44,6.7,40.4
ZCTA5 15696,48.7,6,39.7
ZCTA5 15697,45.6,11.3,31.4
ZCTA5 15698,69.5,4.5,13.2
ZCTA5 15701,37.5,7.5,47.4
ZCTA5 15710,53.6,4.3,38.3
ZCTA5 15711,69.8,5.4,18.1
ZCTA5 15712,50.4,15,25.6
ZCTA5 15713,0,4.7,95.3
ZCTA5 15714,53.9,10.7,27.4
ZCTA5 15715,57.3,13.4,20.2
ZCTA5 15716,36,20.6,37.4
ZCTA5 15717,54.9,10.2,26.1
ZCTA5 15721,43.3,13.9,32.5
ZCTA5 15722,52.5,8.9,28.5
ZCTA5 15723,0,0,0
ZCTA5 15724,58.2,7.4,24.6
ZCTA5 15725,51.7,8.6,31.9
ZCTA5 15727,34.7,17.7,30.6
ZCTA5 15728,49.2,11.6,29.8
ZCTA5 15729,59.9,9.7,21.4
ZCTA5 15730,22.6,9.7,61.3
ZCTA5 15731,59.7,21.8,18.5
ZCTA5 15732,56.2,6.5,30.2
ZCTA5 15733,29.1,8.7,39.8
ZCTA5 15734,54.8,9.6,33.1
ZCTA5 15736,52.6,4.8,34.1
ZCTA5 15737,60.8,3.8,27.8
ZCTA5 15738,55.8,8,26.6
ZCTA5 15739,54.7,13.8,23.2
ZCTA5 15741,76.9,0,11.5
ZCTA5 15742,60.7,8.4,25.4
ZCTA5 15744,41.7,8.3,45.5
ZCTA5 15745,52.6,5.2,41.6
ZCTA5 15746,44.6,7.4,22.3
ZCTA5 15747,60.6,7.2,20.1
ZCTA5 15748,59.8,7.3,23.3
ZCTA5 15750,59.1,7.1,25.3
ZCTA5 15752,76.3,0,23.7
ZCTA5 15753,57.4,15,21.2
ZCTA5 15754,38.6,23.3,35.2
ZCTA5 15756,41.9,17.5,33.2
ZCTA5 15757,59.8,8.1,23.8
ZCTA5 15759,63.3,7.4,23.3
ZCTA5 15760,56.5,20.9,13.9
ZCTA5 15761,18.7,12.1,69.2
ZCTA5 15762,63.7,6,24.7
ZCTA5 15764,60.5,5.1,23.2
ZCTA5 15765,67.7,7.4,20.3
ZCTA5 15767,56,10.2,25.8
ZCTA5 15770,60.2,4.3,34.2
ZCTA5 15771,65.2,9,19.1
ZCTA5 15772,53.7,5.7,32.2
ZCTA5 15773,46.4,6.7,37.6
ZCTA5 15774,61.8,7.4,23.7
ZCTA5 15775,62.5,2.2,28.4
ZCTA5 15776,68.9,17.8,13.3
ZCTA5 15777,47.1,6.7,33.6
ZCTA5 15778,50.7,11.3,32.4
ZCTA5 15779,45.3,11.6,37.4
ZCTA5 15780,61.6,3.8,27.6
ZCTA5 15781,67.1,9.8,19.5
ZCTA5 15783,54.5,9.1,26.3
ZCTA5 15784,69.4,4.1,18.4
ZCTA5 15801,50.4,13,27.3
ZCTA5 15821,67.7,5.3,21.1
ZCTA5 15823,57.6,13.3,21.1
ZCTA5 15824,50.4,13.4,24.4
ZCTA5 15825,53.7,11.3,24.6
ZCTA5 15827,53,13.2,30.1
ZCTA5 15828,60.2,11.5,12.4
ZCTA5 15829,52.5,10.6,29.3
ZCTA5 15832,67.3,7.7,16.9
ZCTA5 15834,45.1,17,26.9
ZCTA5 15840,55.4,12.4,25.4
ZCTA5 15841,52,13.9,34.1
ZCTA5 15845,51.9,11.3,26.4
ZCTA5 15846,56.5,8.7,28
ZCTA5 15847,76.7,6.2,0.9
ZCTA5 15848,51.5,11.6,29.4
ZCTA5 15849,52,13.4,27.8
ZCTA5 15851,53.1,9.1,27.6
ZCTA5 15853,51.5,13.2,27
ZCTA5 15856,56.7,7.1,27.1
ZCTA5 15857,52,10.5,25.7
ZCTA5 15860,59.9,9.4,21.3
ZCTA5 15861,40.9,20.5,23.5
ZCTA5 15863,55.2,5.6,23.4
ZCTA5 15864,61.2,6.9,23.9
ZCTA5 15865,50.7,14,23.2
ZCTA5 15866,46.1,19.6,20.1
ZCTA5 15868,65.9,8.5,18.2
ZCTA5 15870,62.2,12.2,16.9
ZCTA5 15901,21.9,20.3,39.9
ZCTA5 15902,37.4,13.9,35.6
ZCTA5 15904,47.5,7.1,33.3
ZCTA5 15905,54.4,10.1,25.2
ZCTA5 15906,42.4,11.4,34.9
ZCTA5 15909,59.8,7.5,24.1
ZCTA5 15920,68.5,5.6,19.3
ZCTA5 15921,54,0,12.6
ZCTA5 15922,56.7,13.4,20.7
ZCTA5 15923,58.7,8.3,25.8
ZCTA5 15924,66.9,8.2,18.6
ZCTA5 15925,52.6,3.6,27
ZCTA5 15926,60,9.7,20.2
ZCTA5 15927,39,7.3,33.3
ZCTA5 15928,53.5,4.9,17.3
ZCTA5 15929,0,82.2,6.7
ZCTA5 15930,73.7,0,12.1
ZCTA5 15931,54.1,10.1,26.6
ZCTA5 15934,57.9,0,42.1
ZCTA5 15935,62.9,6.8,22.4
ZCTA5 15936,55.4,11.4,20.6
ZCTA5 15937,64.2,1.7,22.9
ZCTA5 15938,55.9,10,22.7
ZCTA5 15940,30.3,10.7,55.4
ZCTA5 15942,62.4,8,21.3
ZCTA5 15943,52.6,8.2,29.5
ZCTA5 15944,62.5,8.3,21.9
ZCTA5 15945,33.3,11.8,46.1
ZCTA5 15946,55.9,8.9,24.1
ZCTA5 15948,48,2.5,34.2
ZCTA5 15949,64.1,4,25.3
ZCTA5 15951,37.9,21.3,30.9
ZCTA5 15952,54.9,11.2,23.5
ZCTA5 15953,72.7,0,27.3
ZCTA5 15954,53.1,6.8,27
ZCTA5 15955,60.9,6.8,24.1
ZCTA5 15956,49.1,12.8,27.8
ZCTA5 15957,70.1,8,15.2
ZCTA5 15958,66.1,7.4,19.9
ZCTA5 15960,49.2,9.1,33.3
ZCTA5 15961,62.9,9,20
ZCTA5 15962,54.8,8.1,30.6
ZCTA5 15963,55.3,8.1,22.6
ZCTA5 16001,47.3,14,27.8
ZCTA5 16002,60.9,8,23.9
ZCTA5 16020,52.9,12.1,28.3
ZCTA5 16022,48.9,7.5,34.8
ZCTA5 16023,51.3,9.1,18.4
ZCTA5 16024,54.2,17.2,20.2
ZCTA5 16025,56.9,9.3,24.7
ZCTA5 16027,61.2,13.4,21.6
ZCTA5 16028,51.5,12.7,24.9
ZCTA5 16029,53.6,12.5,26.1
ZCTA5 16030,49.6,7.8,37
ZCTA5 16033,61.4,10.4,21.4
ZCTA5 16034,62.5,5.3,29.7
ZCTA5 16035,45.4,3.1,41.2
ZCTA5 16036,52.9,9.8,20.9
ZCTA5 16037,61,10.1,23.8
ZCTA5 16038,55.6,8.6,25.9
ZCTA5 16040,62.5,7.6,22.9
ZCTA5 16041,53.2,8.3,29.4
ZCTA5 16045,32.9,13.6,41
ZCTA5 16046,63.5,6.2,24.8
ZCTA5 16048,66.2,12.3,21.5
ZCTA5 16049,59.8,8.7,21.4
ZCTA5 16050,58.9,9.6,22.6
ZCTA5 16051,58.2,13.9,21.4
ZCTA5 16052,65.6,8.8,17.5
ZCTA5 16053,59.2,8,25.9
ZCTA5 16054,52.7,18.5,22
ZCTA5 16055,65.9,5.5,21.5
ZCTA5 16056,57.8,12.4,19.8
ZCTA5 16057,33.1,6.5,55.8
ZCTA5 16059,65.9,8.4,19.3
ZCTA5 16061,60.1,7.6,23.7
ZCTA5 16063,54.1,6.7,25.5
ZCTA5 16066,65.1,6,23.2
ZCTA5 16101,44.7,12.6,30.5
ZCTA5 16102,52.2,12.2,26.8
ZCTA5 16105,60.1,8.9,21.6
ZCTA5 16110,51.5,10.9,28.2
ZCTA5 16111,59.7,4.5,30
ZCTA5 16112,53.5,9,29.9
ZCTA5 16113,66.8,8,21.3
ZCTA5 16114,54.8,12.1,25.7
ZCTA5 16115,55.4,11.7,23.8
ZCTA5 16116,50.4,9.8,28.1
ZCTA5 16117,53,11.2,26.8
ZCTA5 16120,60.8,7.3,25.6
ZCTA5 16121,34.9,17.9,34.1
ZCTA5 16123,62.3,7.8,24.9
ZCTA5 16124,58.7,8,25.9
ZCTA5 16125,50.6,11.8,28.2
ZCTA5 16127,41.2,10.5,39.8
ZCTA5 16130,58.5,7.3,23
ZCTA5 16131,58.5,11,23.9
ZCTA5 16132,58.1,13.2,18.4
ZCTA5 16133,62.4,10.4,20.7
ZCTA5 16134,58.5,12.1,20.2
ZCTA5 16136,45.6,13,27.8
ZCTA5 16137,48.9,12.6,28.2
ZCTA5 16140,0,37,25.9
ZCTA5 16141,59.6,9.3,25.1
ZCTA5 16142,50,5,36
ZCTA5 16143,55.5,12.5,19.9
ZCTA5 16145,55,12,24.2
ZCTA5 16146,35,13.7,37.2
ZCTA5 16148,53.3,10.3,23.9
ZCTA5 16150,56.2,11.1,23.6
ZCTA5 16151,42.5,8.2,37
ZCTA5 16153,60.3,13.3,17.3
ZCTA5 16154,58.1,12.8,18.5
ZCTA5 16155,8.9,26.7,53.3
ZCTA5 16156,63.6,9,22.1
ZCTA5 16157,46.7,14,30.3
ZCTA5 16159,62.1,8.9,22.8
ZCTA5 16160,54.6,12.2,23.8
ZCTA5 16161,41.1,16.2,29
ZCTA5 16201,54.4,10.6,22.9
ZCTA5 16210,64.5,4.3,24.4
ZCTA5 16211,69.5,2.5,18.6
ZCTA5 16212,52.9,12.3,22.1
ZCTA5 16213,54.3,14.9,21.3
ZCTA5 16214,35.6,8.1,50.5
ZCTA5 16217,52.5,10.2,13.6
ZCTA5 16218,51.4,9.5,31.6
ZCTA5 16222,62.9,7,21.2
ZCTA5 16223,34,5.1,52.6
ZCTA5 16224,59.3,7.4,23.7
ZCTA5 16226,48.5,9.4,30
ZCTA5 16228,61.2,5.2,25.6
ZCTA5 16229,56,10,23.5
ZCTA5 16230,54.8,15.2,23.3
ZCTA5 16232,62.1,9.6,19.3
ZCTA5 16233,62.7,8.3,17.2
ZCTA5 16235,62.7,6.3,18.7
ZCTA5 16236,53.8,9.7,36.5
ZCTA5 16238,49.6,13.5,29.4
ZCTA5 16239,18.9,9.1,65.5
ZCTA5 16240,60.6,7.6,21.7
ZCTA5 16242,59.6,9.1,20.8
ZCTA5 16244,77,0,15.7
ZCTA5 16245,46,9.8,26.8
ZCTA5 16246,60.1,10.9,20.7
ZCTA5 16248,49.5,10.3,27.7
ZCTA5 16249,60.3,10.3,20.7
ZCTA5 16250,54.9,5.4,36.5
ZCTA5 16253,79.5,6.4,10.3
ZCTA5 16254,54.3,11.8,25.9
ZCTA5 16255,53.8,9.1,23.8
ZCTA5 16256,67.7,1.7,25.7
ZCTA5 16258,49.9,12.8,26
ZCTA5 16259,65.8,5.2,20.4
ZCTA5 16260,45.6,10.8,36.1
ZCTA5 16262,55.3,9.6,24.8
ZCTA5 16263,67.3,12.3,10.8
ZCTA5 16301,46.9,14.5,27.3
ZCTA5 16311,63.4,8.7,21.3
ZCTA5 16312,0,0,100
ZCTA5 16313,46.3,11.9,29
ZCTA5 16314,58.9,9.8,22.7
ZCTA5 16316,54.8,15.6,21.9
ZCTA5 16317,65.2,6.9,20.9
ZCTA5 16319,63.2,8.3,20.6
ZCTA5 16321,61.2,24.5,14.3
ZCTA5 16322,75.3,4.9,8.6
ZCTA5 16323,52.2,11.2,25.4
ZCTA5 16326,46.1,8.9,34.2
ZCTA5 16327,60.3,9,20.9
ZCTA5 16328,70.6,9.4,14.1
ZCTA5 16329,61.9,8.4,25.8
ZCTA5 16331,50,0,40.9
ZCTA5 16332,93.8,6.3,0
ZCTA5 16333,57.9,9,22.6
ZCTA5 16334,74.4,0.7,19.9
ZCTA5 16335,45.2,12.1,33.2
ZCTA5 16340,58.3,8.7,22.9
ZCTA5 16341,57.7,10.5,23
ZCTA5 16342,51.1,9.5,34.6
ZCTA5 16343,50.4,18.5,28.2
ZCTA5 16344,47.1,7.8,34.8
ZCTA5 16345,65.5,7.7,18.8
ZCTA5 16346,53.9,14.7,25.8
ZCTA5 16347,52.2,10.8,28.4
ZCTA5 16350,51.6,12.4,27.6
ZCTA5 16351,54.6,12.5,18.7
ZCTA5 16352,60.3,20.6,7.4
ZCTA5 16353,61.7,8.5,18
ZCTA5 16354,52.5,9.9,28
ZCTA5 16360,60.7,7.6,24.1
ZCTA5 16361,72.7,9.1,18.2
ZCTA5 16362,59.5,10.8,20.7
ZCTA5 16364,63.7,5.8,24.7
ZCTA5 16365,51.1,11.8,25.5
ZCTA5 16370,58.4,14.2,9.7
ZCTA5 16371,49,11.5,23.8
ZCTA5 16372,51.2,15.6,19
ZCTA5 16373,59.4,7.9,25.6
ZCTA5 16374,60.2,10.3,18.9
ZCTA5 16401,34.6,12.1,43.9
ZCTA5 16402,54.2,16.7,21.9
ZCTA5 16403,51.6,11.5,27.7
ZCTA5 16404,57,11.7,23.8
ZCTA5 16405,56.6,7.7,30.3
ZCTA5 16406,56.3,11.5,24.8
ZCTA5 16407,56,7.8,27.4
ZCTA5 16410,59,5.8,26
ZCTA5 16411,47,15.3,29.9
ZCTA5 16412,47.9,6.1,37.9
ZCTA5 16415,62.7,9.2,20.8
ZCTA5 16416,33.6,14.8,33.6
ZCTA5 16417,55.2,10.6,24.6
ZCTA5 16420,61.9,6.5,24.8
ZCTA5 16421,54.6,9.9,23.7
ZCTA5 16422,33.3,24.4,31.6
ZCTA5 16423,53.6,9.5,28.4
ZCTA5 16424,53.2,13.2,23.1
ZCTA5 16426,60.2,10.1,21.7
ZCTA5 16427,39.9,8.7,36.2
ZCTA5 16428,50.5,11.1,29.3
ZCTA5 16433,55.8,11.7,24.9
ZCTA5 16434,61.7,5.6,26.7
ZCTA5 16435,52.5,12.4,28.6
ZCTA5 16436,53.7,9,32.1
ZCTA5 16438,56.1,10.9,24.2
ZCTA5 16440,56.5,8.8,23.7
ZCTA5 16441,60.4,8.4,25.4
ZCTA5 16442,61.3,9.2,22
ZCTA5 16443,57.5,11,21.2
ZCTA5 16444,0.5,0,99.5
ZCTA5 16501,5.9,23.9,57.2
ZCTA5 16502,29.3,14.3,47.7
ZCTA5 16503,26,11.7,51.6
ZCTA5 16504,39.1,11.5,39.5
ZCTA5 16505,48.2,11.2,28.3
ZCTA5 16506,51.7,9.3,29.2
ZCTA5 16507,24.5,13.2,50.9
ZCTA5 16508,44.8,10.7,35.6
ZCTA5 16509,52.2,9.5,29.6
ZCTA5 16510,52.6,9.4,29.2
ZCTA5 16511,47.6,12.1,29.7
ZCTA5 16546,1.6,0,98.4
ZCTA5 16563,0.4,0,99.6
ZCTA5 16601,47.5,10.6,32.6
ZCTA5 16602,45.5,12.4,31.1
ZCTA5 16611,62.5,8.4,21.8
ZCTA5 16613,67.9,6.5,19.4
ZCTA5 16616,45.1,15.4,31.9
ZCTA5 16617,51.7,11.3,24.8
ZCTA5 16619,49.8,7.1,29.9
ZCTA5 16620,55.9,8.9,24.3
ZCTA5 16621,55.5,6.5,25.7
ZCTA5 16622,59.9,8.4,20.4
ZCTA5 16623,59.6,5.7,21.5
ZCTA5 16624,56.8,13.7,18.5
ZCTA5 16625,50.4,10.7,28.9
ZCTA5 16627,54.4,9.2,27.1
ZCTA5 16630,45.5,7.7,38.4
ZCTA5 16631,60.2,0,34.4
ZCTA5 16633,64,5.4,18.8
ZCTA5 16634,53.7,9.7,27.9
ZCTA5 16635,57.2,8.1,24.9
ZCTA5 16636,60.4,11.4,21.9
ZCTA5 16637,50.3,15.3,27.6
ZCTA5 16638,90.5,0,9.5
ZCTA5 16639,54.9,11.7,25.4
ZCTA5 16640,61.9,12.6,17
ZCTA5 16641,54.7,10.8,27.1
ZCTA5 16645,63.6,9.8,19.6
ZCTA5 16646,55.2,12.7,21.5
ZCTA5 16647,65.5,8.7,16.4
ZCTA5 16648,55,8.2,24.2
ZCTA5 16650,61.6,7.9,20.7
ZCTA5 16651,32.9,14.6,43.5
ZCTA5 16652,40.3,9.8,42.1
ZCTA5 16655,60.5,7.8,20
ZCTA5 16656,63.6,8.4,21.6
ZCTA5 16657,60.5,7.7,23.8
ZCTA5 16659,65.5,8,22.5
ZCTA5 16661,59.7,10.5,22.4
ZCTA5 16662,61.8,7.5,20.7
ZCTA5 16664,61.2,7.8,22.4
ZCTA5 16665,46.2,11.5,39.3
ZCTA5 16666,58.8,9.3,24.2
ZCTA5 16667,51.5,17.9,23.7
ZCTA5 16668,56,9.7,25.1
ZCTA5 16669,60.3,9.4,20.4
ZCTA5 16670,35.5,9.7,35.5
ZCTA5 16671,55.2,9,30.4
ZCTA5 16672,45.5,10.2,33.2
ZCTA5 16673,60.9,6.9,24.3
ZCTA5 16674,55.3,9.2,26.2
ZCTA5 16677,62,0,26.7
ZCTA5 16678,53.2,12.4,23.8
ZCTA5 16679,52.1,12.5,24.5
ZCTA5 16680,62.8,6.8,22.7
ZCTA5 16682,56.4,23.1,0
ZCTA5 16683,64.8,3.5,22.9
ZCTA5 16685,56.4,15.4,16.1
ZCTA5 16686,54.8,9.2,27.5
ZCTA5 16689,68.3,3.1,17.9
ZCTA5 16691,55.1,12.1,21.9
ZCTA5 16692,50.8,6.2,33.9
ZCTA5 16693,52.2,9.7,30.3
ZCTA5 16694,45.5,10.3,22.8
ZCTA5 16695,65.6,7.1,23.7
ZCTA5 16699,22.7,14.5,60.4
ZCTA5 16701,40.4,13.9,35.4
ZCTA5 16720,48.6,9.1,25.4
ZCTA5 16724,31.5,16.3,48.9
ZCTA5 16725,48.3,18.4,28.9
ZCTA5 16726,54.4,13.3,28.8
ZCTA5 16727,63.7,6.4,24
ZCTA5 16728,80.8,7.7,11.5
ZCTA5 16729,55.6,11.7,26.1
ZCTA5 16730,42.9,39.7,0
ZCTA5 16731,55.2,11.8,24.5
ZCTA5 16732,59,14.2,20.1
ZCTA5 16733,43.2,17.3,26.5
ZCTA5 16734,53.8,13.8,24.9
ZCTA5 16735,48.9,14,27.1
ZCTA5 16738,31,7.4,49.6
ZCTA5 16740,49.4,13.6,29.3
ZCTA5 16743,54.1,11.7,23.8
ZCTA5 16744,44.5,9.7,21.6
ZCTA5 16745,53.6,13.2,24
ZCTA5 16746,47.5,12,27.7
ZCTA5 16748,48.5,14.7,26.4
ZCTA5 16749,58.7,10.8,19.4
ZCTA5 16750,36.7,9.9,44.2
ZCTA5 16801,31.5,5.1,58.8
ZCTA5 16802,0.3,0,99.7
ZCTA5 16803,38.6,5.2,52.5
ZCTA5 16820,61.9,10.4,19
ZCTA5 16821,17.5,27.4,0
ZCTA5 16822,58.4,8.6,25
ZCTA5 16823,51.2,10,32
ZCTA5 16825,62.2,0,30.5
ZCTA5 16826,49.3,8.6,28.1
ZCTA5 16827,59.4,11.4,24
ZCTA5 16828,58.2,16.5,16.2
ZCTA5 16829,62,8.7,20.8
ZCTA5 16830,47.9,12.9,27.7
ZCTA5 16832,51.2,8.4,33.8
ZCTA5 16833,53.7,13.5,23.2
ZCTA5 16834,79.9,3.7,11
ZCTA5 16835,45.4,11.5,39.9
ZCTA5 16836,54.1,10.2,25.3
ZCTA5 16837,74.2,0,10.3
ZCTA5 16838,60.1,6.9,26.8
ZCTA5 16839,46,11.8,38.5
ZCTA5 16840,59,6.4,30.4
ZCTA5 16841,54.6,8.5,28.7
ZCTA5 16843,33.6,8.7,30.3
ZCTA5 16844,61.9,12.4,20.1
ZCTA5 16845,38,9.8,40.4
ZCTA5 16847,43.3,11.8,2.8
ZCTA5 16848,37.2,16.6,43
ZCTA5 16849,83.4,8.6,8
ZCTA5 16851,63.2,7.6,29.2
ZCTA5 16852,73.9,7.6,15.7
ZCTA5 16853,19.1,32.2,43.4
ZCTA5 16854,53.7,13.1,22.2
ZCTA5 16855,40.9,0,0
ZCTA5 16858,61.6,11.8,20.5
ZCTA5 16859,65,10.9,19.8
ZCTA5 16860,30.3,18.1,23.9
ZCTA5 16861,66.4,8.8,15.5
ZCTA5 16863,45,11.4,36.4
ZCTA5 16865,62.5,4.5,24.2
ZCTA5 16866,46.9,11.4,29.4
ZCTA5 16868,47.8,16.9,26.6
ZCTA5 16870,70.5,7.6,18.3
ZCTA5 16871,61.8,14.7,20.6
ZCTA5 16872,52.2,5.9,37.5
ZCTA5 16874,50.6,7.1,31.2
ZCTA5 16875,59.9,7.6,26.8
ZCTA5 16876,48.7,12.9,25.1
ZCTA5 16877,67.4,9.9,16.6
ZCTA5 16878,61.6,11.5,17.5
ZCTA5 16879,31.5,16.7,38.2
ZCTA5 16881,50.1,11.8,26.6
ZCTA5 16882,65.9,6.6,20.9
ZCTA5 16901,55.4,9.3,24.3
ZCTA5 16911,52.8,14.2,22.2
ZCTA5 16912,48.2,15.1,26.9
ZCTA5 16914,65.4,7.7,19.2
ZCTA5 16915,48.7,11,27.2
ZCTA5 16917,56.3,11.7,25.7
ZCTA5 16920,42.2,16.7,28.7
ZCTA5 16921,52,15.1,23
ZCTA5 16922,53.1,12.6,23.9
ZCTA5 16923,60,10.8,22.8
ZCTA5 16925,60.8,8.8,23.9
ZCTA5 16926,63.5,6.6,19.7
ZCTA5 16927,67.1,8.7,17.5
ZCTA5 16928,55.5,10.8,27.2
ZCTA5 16929,54.5,12.3,25.7
ZCTA5 16930,64.8,8.1,17.9
ZCTA5 16932,67.1,5.5,19.4
ZCTA5 16933,43.2,10,36.8
ZCTA5 16935,62,9.4,22.5
ZCTA5 16936,54.4,8.4,28
ZCTA5 16937,44.6,14.7,29.9
