Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
00601,18970,2094,11346,14095,13631,21481,34861,24.7,11.4,14.6,6.2,15.1,3.1,38.6,13.9,39.3
00602,24179,1772,7483,10600,13981,20086,27471,23.5,10.7,10.4,13.3,13.4,5.8,40.9,12.7,36.6
00603,27627,2135,10459,12418,15709,24563,36667,18.7,10.8,13.1,7.0,16.7,6.1,39.1,14.3,36
00606,16739,1970,6885,11519,12969,19209,-,30.4,19.0,3.8,5.7,7.4,2.6,34.6,10.1,46
00610,25085,1468,9500,15063,14959,23597,34375,22.7,9.9,10.6,10.3,11.8,3.4,41.4,11.5,35
00612,25454,1472,11268,15421,18072,21938,32338,15.4,8.5,13.5,9.6,17.2,6.1,37.7,15.3,35.8
00616,23073,3776,-,16403,14036,18973,39631,21.0,10.6,12.2,10.0,15.7,3.5,41,13.2,35.7
00617,22839,1758,-,14505,19754,20828,27862,17.1,9.2,10.9,11.9,15.1,3.5,41.3,14.2,35.4
00622,32910,10194,16321,16111,15231,19071,57989,22.3,13.7,12.1,4.9,16.4,5.8,40.6,16.2,31.7
00623,24124,1510,11469,13380,15089,22504,40632,17.7,11.2,10.1,8.8,20.2,6.2,35,16.9,37.9
00624,23157,1526,8125,12093,14736,21086,30365,16.6,11.0,9.5,11.6,17.2,3.7,41.1,12.2,37.2
00627,26405,2087,9461,14721,14741,23271,29750,19.5,9.0,12.3,10.2,16.7,5.3,44.9,13.3,32.6
00631,16679,4871,-,8258,19191,24400,-,28.5,13.9,14.4,3.5,14.1,1.6,38.9,13,35.3
00637,24481,1514,6832,14439,15922,21910,29792,18.7,9.1,9.9,9.3,15.9,3.4,34.4,13.7,41.4
00638,21401,2559,12065,14461,17133,25642,37014,22.4,10.2,10.1,10.5,12.4,2.0,38.9,12.2,38.5
00641,22780,1221,10417,13576,15760,20846,32781,19.3,9.5,14.7,8.3,15.3,3.4,39.7,14.3,37.6
00646,45044,3471,12535,15659,21866,32030,41334,12.7,9.2,12.2,9.0,22.5,8.4,44.7,11.7,35.8
00647,16271,1827,9760,11016,16212,14107,-,20.8,10.9,8.8,5.5,14.2,2.0,37.8,6.9,40.2
00650,21530,2022,9599,13177,17774,24961,11414,15.6,8.3,15.9,11.6,10.3,1.3,43.8,13.9,35
00652,27512,5449,-,19349,21771,18873,16667,18.0,6.6,16.7,6.0,18.7,4.9,35.4,15.1,37.4
00653,18561,2717,6602,12647,13516,22500,29574,18.6,14.3,6.5,7.4,9.6,4.6,32.1,11.8,44.6
00656,22116,1623,8063,12815,15068,23448,24443,16.8,10.4,9.5,11.7,18.2,4.4,36.5,12.8,41.6
00659,27132,1983,10337,12446,14211,23991,33358,21.0,9.6,8.6,14.2,18.1,6.7,45.8,12.8,32.7
00660,27174,2366,9753,13783,15679,21508,31583,17.6,8.6,14.9,7.5,16.8,4.8,37.2,15.1,33.8
00662,23436,1517,6684,14989,15305,23444,28425,19.8,9.8,12.3,8.3,15.2,6.1,40.4,12.3,35.1
00664,20527,2587,14014,15389,13797,23609,22808,19.6,6.9,14.1,6.4,11.5,5.6,34.6,13.4,42.6
00667,20081,1900,10038,12726,14143,23125,34013,25.1,13.3,9.7,10.8,11.0,4.4,40.3,13,36.3
00669,21000,1942,10675,14876,16270,26480,31984,27.6,11.6,13.7,7.2,14.3,3.4,44.7,11.9,34.3
00670,20031,2395,9541,15691,13954,19118,41178,33.2,10.7,5.5,4.3,13.2,2.5,44.1,14.1,33.6
00674,26790,1496,9284,15610,18165,28227,39020,19.5,9.8,10.5,10.9,17.6,4.3,39.8,15,34.6
00676,20904,1525,7110,13585,17035,19740,27428,24.3,9.7,10.2,5.2,14.4,4.5,44.3,11.7,34.2
00677,24840,2647,8546,12829,14331,16320,35692,20.5,12.5,8.7,11.0,17.3,5.6,36.4,17.4,33.9
00678,23860,3119,9890,13209,14348,22204,30410,19.0,10.2,12.0,12.3,13.8,3.5,41.7,12.5,36.3
00680,24278,2173,11995,12866,16614,21256,40912,20.4,9.6,12.2,5.9,14.4,5.7,32.4,13.9,40.7
00682,28953,2599,7941,12619,14469,22800,40179,16.8,10.3,12.6,5.1,20.0,10.0,30.6,14,45.1
00683,24598,1962,9235,13055,16384,22069,35042,20.0,10.2,9.8,5.9,17.6,5.4,34.9,15.3,38.2
00685,20660,1348,7365,13368,17470,23534,21875,27.9,8.0,12.6,8.3,15.0,3.1,44.8,13.3,30.8
00687,24517,1807,13808,14132,15034,24009,38594,21.6,10.9,13.6,11.3,13.5,3.5,39.1,12.1,41.8
00688,22204,1697,6394,14750,14459,21671,25543,16.9,10.2,10.8,10.0,14.6,3.0,40.2,10.8,38.8
00690,24927,3515,13929,12978,21104,33795,38587,19.7,7.2,4.6,6.1,23.9,8.8,39.8,12.3,36.8
00692,29906,2987,15577,15627,18745,30211,39767,16.0,13.3,13.3,10.1,13.2,7.0,37.6,11.9,39.4
00693,27592,1691,15986,15938,18954,27303,33750,18.7,17.9,12.5,12.3,14.3,5.8,40.4,10.9,37.9
00694,15296,3414,-,-,-,-,-,42.0,0.0,0.0,58.0,0.0,0.0,39.8,18.2,29.5
00698,22088,1253,11129,14647,14373,19540,30902,18.8,9.6,10.3,7.4,17.3,5.3,33.6,12.4,44.8
00703,27068,4456,11820,13044,16069,22582,22891,22.9,11.2,13.1,7.7,12.2,3.1,37.5,9.3,43.2
00704,19484,2849,6633,14469,12721,26477,19760,17.6,10.9,8.7,12.4,11.4,5.3,36.9,11.7,45.2
00705,26602,3252,9321,15025,18411,29784,32107,17.1,8.6,12.5,7.4,14.1,5.4,38.2,12.7,40.3
00707,23835,3805,5479,13605,22973,18825,27232,24.7,11.6,12.4,8.6,14.3,2.5,40.1,9.6,41.3
00714,20483,2165,13182,14602,19539,22535,29511,14.9,9.6,11.2,8.8,13.7,2.0,34.6,14.4,40.7
00715,19302,5983,-,8750,11579,7386,-,24.8,13.0,16.7,4.6,9.2,1.7,36.6,11.8,40.7
00716,31881,3500,7572,13987,18161,23676,41108,14.3,8.0,12.4,6.7,21.5,10.3,32.9,14.4,41.3
00717,23276,3402,16836,9105,15840,23705,35208,13.0,7.9,10.9,9.3,18.1,8.9,27.6,14.6,45.5
00718,28111,5825,15404,15280,17334,22344,31039,20.6,10.5,10.7,8.0,16.2,3.9,35.9,13,39.9
00719,25823,1898,13050,14269,15766,22023,31807,18.9,10.5,17.7,10.2,14.4,2.7,38.8,11.9,40.9
00720,20147,1235,14202,16989,16857,19884,17721,23.8,11.8,8.4,6.2,12.9,3.3,34.7,9.6,46.8
00723,21608,2776,8333,14106,16523,22064,28750,20.3,9.1,15.1,9.0,12.5,3.8,37.6,11.7,40.3
00725,31965,1609,9533,14682,16235,25516,38602,12.8,8.2,13.5,9.3,20.6,7.2,34.8,15.9,39.5
00727,41772,2379,14149,16327,19905,31123,39628,12.5,6.3,12.6,12.3,21.6,10.6,39.2,16.7,35.9
00728,25654,1293,10272,13356,14401,19147,31713,13.3,8.4,12.2,10.4,18.7,5.9,36.7,10.7,43.1
00729,30844,2495,12750,16196,18075,22468,31500,16.7,9.1,10.6,11.2,15.3,5.1,37.3,14.4,38.3
00730,27669,3371,9828,14331,16130,21942,40380,16.5,9.6,10.8,8.1,17.1,6.1,31.4,13.3,43.9
00731,26823,6253,9331,11387,13880,20200,44228,19.7,7.3,9.5,6.9,18.3,3.9,41,8.6,40.9
00735,30978,6684,10068,15870,17455,26227,30417,16.1,10.4,14.8,8.3,12.5,4.9,38.7,14.9,33.9
00736,32084,3245,10250,14734,17178,27009,31466,19.6,7.9,10.4,9.1,17.1,6.2,37.6,13.3,40.5
00738,27594,2039,9763,14983,16446,21802,33472,12.0,8.6,14.7,8.3,18.9,5.0,33.6,18.8,35.7
00739,31088,1679,11413,15989,17723,20818,32964,16.2,7.8,13.1,9.2,16.3,6.9,38.9,10.3,42.2
00740,16255,3453,-,15956,24310,31591,-,10.6,20.0,11.1,9.2,6.1,2.1,26.3,15.1,45.1
00741,26232,3145,-,13596,18161,24773,-,8.8,12.8,24.6,15.1,9.7,1.9,40.9,17.3,35.6
00745,30919,1759,12516,15480,18879,25798,31389,14.6,9.6,10.8,11.7,15.3,5.1,37.4,14.7,38.4
00751,22532,1600,8448,11808,15938,24291,35547,16.1,11.7,9.4,7.8,12.8,3.6,35.5,12.2,43.5
00754,27237,1815,12755,14308,18857,27920,31676,20.9,8.5,13.5,10.5,15.4,5.0,39.3,12.1,38.8
00757,26498,2235,4361,13333,17838,22590,36231,14.3,7.0,10.3,8.6,16.2,7.4,34,14.9,41.3
00765,22628,3476,15943,16800,18125,22500,40492,15.0,10.8,7.4,9.1,15.8,7.4,30.8,12.7,46.9
00766,29717,5077,5426,13387,16479,21752,29185,18.6,8.7,10.9,8.3,15.6,4.0,36.8,9.3,44.2
00767,22280,1811,7012,13681,18225,24199,27042,22.5,9.5,14.1,11.9,13.5,3.6,33.4,14,41.9
00769,27114,1780,10887,13715,17288,24313,38054,16.1,9.5,11.6,7.5,15.3,4.9,35.9,12.5,42.3
00771,28236,2342,11848,13875,18160,29902,32045,14.2,8.3,17.9,9.9,14.0,5.7,41.3,13.5,37.2
00772,20810,1287,15063,15433,15126,24946,28000,16.3,13.0,7.8,10.6,8.9,2.4,27.7,13.2,47
00773,28238,2112,11982,15693,18291,24073,25000,15.7,9.5,13.1,9.9,14.4,4.7,41.1,15.8,35
00775,27277,3543,7279,15974,16480,23958,27222,22.4,11.3,8.6,9.9,11.1,3.3,21.7,24.6,43.9
00777,25189,1528,9421,15097,16433,27030,30812,19.2,7.1,10.1,13.3,15.3,5.2,33.9,15.8,40.8
00778,47252,3944,7476,14951,22905,34576,42465,13.5,8.1,10.4,10.6,21.7,11.1,43.2,12.6,37.4
00780,39958,8351,8822,11706,16821,24311,73427,17.0,6.9,12.0,6.3,22.4,10.4,35.4,13.1,39.5
00782,18254,1498,6206,13504,16502,21786,27068,24.1,11.3,11.5,8.6,9.9,2.6,30.8,10.2,49
00783,22491,1785,12576,15278,16990,21763,21590,19.7,12.1,14.6,7.9,13.4,3.7,43.2,8.8,39.1
00784,23762,2149,14149,15752,19316,24634,26165,14.8,9.7,11.1,8.0,16.0,3.7,33.6,13,43.5
00786,32291,21430,-,-,-,-,-,34.9,19.3,0.0,0.0,0.0,0.0,34.9,14.9,28.9
00791,30874,3146,11503,15525,16319,24812,27447,16.5,8.5,9.6,10.5,17.6,6.5,36.7,15.2,38.1
00794,22386,1818,8077,14251,17234,22490,24668,18.4,11.5,12.8,6.9,12.9,4.3,34.9,9.2,47.3
00795,28912,2199,8684,13646,15804,23739,34844,14.2,10.6,8.9,9.8,18.3,5.0,37.7,13.5,39.1
00901,61360,11652,11333,12092,19348,26734,59375,13.1,9.6,11.1,7.4,21.2,16.2,27.2,13.1,48.4
00906,93374,31379,-,-,-,48542,-,0.0,0.0,7.7,0.0,42.9,49.5,13.2,33,53.8
00907,71475,9958,13838,15790,19560,32663,50876,10.3,6.0,9.4,9.5,26.9,23.5,32.7,16.2,40.2
00909,31456,3366,11623,15388,10244,28625,41232,14.2,7.8,14.2,8.1,19.7,13.0,24.6,18.5,45.6
00911,55145,7572,10774,12147,15170,30972,50909,10.5,2.9,13.4,7.6,30.0,22.3,27.3,22.5,39.6
00912,34358,4387,9918,15125,14903,22083,48378,16.8,6.6,10.9,9.0,22.6,11.1,20.2,22.3,47.9
00913,16943,3321,10650,9316,15030,-,42800,18.9,11.3,8.7,8.7,8.5,6.4,15.7,12,64.1
00915,20728,2841,10574,14450,16075,19481,34242,26.4,12.6,9.0,8.1,8.2,2.9,23.1,16.3,48.4
00917,28992,6348,9497,12920,15748,24188,25901,17.8,10.3,10.3,10.4,15.2,8.2,25.2,15.8,47.5
00918,40964,4459,10639,15149,18444,35910,47774,10.5,5.1,7.4,11.5,27.4,24.6,27.4,16,47.2
00920,34035,2388,12178,15395,17588,24421,34405,10.3,8.3,15.2,14.0,21.8,10.1,30.2,18.3,39.5
00921,29913,2823,10036,15789,17523,23961,32000,12.2,8.0,11.6,16.9,18.0,8.3,30.8,17.2,42.3
00923,25425,4446,9439,13389,17284,26513,35071,17.4,12.8,11.4,12.6,14.2,6.9,26.7,13.2,49.5
00924,31214,2259,9228,15055,16590,26956,31960,13.3,8.3,14.6,11.9,18.4,9.3,27.7,14.2,45.9
00925,19862,5494,5370,10313,14784,17214,38083,23.9,10.0,12.6,7.1,20.4,9.8,16.3,9.4,64.6
00926,58053,2850,9003,15143,20247,31228,51849,9.5,4.8,10.8,11.0,25.8,18.8,40.3,11.6,38.3
00927,55916,5532,-,16450,21522,29475,48813,2.7,2.4,9.1,12.9,32.3,25.4,39.6,11.8,40.2
00934,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,100.0,0,100,0
00936,-,**,-,-,-,-,-,30.6,14.1,4.9,4.2,8.5,4.5,27.2,6.7,35.5
00949,34442,1209,12895,16548,19149,25530,34578,11.0,8.6,16.5,10.5,19.4,7.0,35.4,15.4,39
00950,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00951,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00952,22387,2359,7401,14389,17292,23839,-,18.8,11.4,16.5,9.9,10.7,1.8,31.8,18.6,41.2
00953,43266,2232,11120,15874,19936,29390,42601,12.0,7.6,13.6,10.0,24.5,6.7,42,12.6,37.7
00956,31030,1397,11712,16379,17894,25172,33202,14.5,8.6,17.2,10.6,18.5,5.1,38.7,15.2,35.1
00957,34086,1738,13042,17105,17253,27198,35469,14.2,6.7,16.2,11.6,19.6,5.8,39.6,14.3,36.9
00959,40163,2499,12986,16409,17244,28057,34517,8.1,6.2,18.0,10.6,25.6,10.4,36,15.8,38.4
00960,-,**,6369,7102,9583,16458,-,22.8,29.9,8.8,2.8,1.4,0.5,4.6,10.7,81.4
00961,43329,2948,10331,15522,18914,30090,38458,12.4,7.2,15.5,9.6,21.6,11.0,35.5,15.2,39.2
00962,25971,2520,13894,14268,17356,25392,31816,18.7,11.9,13.6,9.9,11.5,3.7,30.7,13.8,44.8
00965,24430,6256,17043,14833,16838,19844,-,18.4,12.9,11.9,8.5,9.9,0.8,25.3,20.1,42
00966,91405,11377,8864,10556,21372,38177,61676,4.6,1.8,11.1,10.6,35.5,26.9,39.1,14.6,35.5
00968,78099,10117,-,13125,37321,52276,44537,2.0,3.4,10.9,7.8,37.9,30.1,39.6,26.3,21.7
00969,75543,5535,15885,16565,21768,32467,52165,5.2,2.4,11.8,8.0,34.4,25.3,40.9,13.6,36
00971,36488,4299,14917,17345,16370,31029,37478,19.3,10.4,15.0,8.8,17.0,7.0,34.4,16.5,37.8
00976,43596,2713,10210,15754,18048,30138,40203,11.0,5.3,13.6,11.2,24.8,10.8,40.8,14.7,36
00979,57307,6724,15259,17226,21869,32396,46287,7.1,5.0,14.2,11.0,28.4,17.5,32.8,19.9,37.2
00982,33124,2537,10761,15724,20872,28286,32136,10.9,7.6,16.0,11.9,19.2,6.6,31.8,15.7,38.8
00983,34631,1635,9875,16215,17629,24372,29609,10.6,5.8,15.7,11.0,21.3,7.5,32.6,14.9,40.2
00985,33814,1674,11207,15909,19412,22363,32500,12.1,6.1,15.8,13.4,17.1,5.9,34.7,16.8,36.6
00987,43958,2044,11954,17094,21583,29818,39361,10.7,6.5,13.8,11.3,24.9,9.0,39.3,14.7,36.7
01001,74096,5300,31063,30582,40760,52958,60150,2.1,6.6,23.6,9.3,17.9,12.1,45,13.7,29.7
01002,80304,4770,19811,30747,24153,40308,63929,2.6,2.0,10.8,5.4,24.7,42.3,29.9,5.4,60.5
01003,N,N,-,-,4602,26750,"2,500-",0.0,19.1,50.0,0.0,10.3,11.0,0.3,0.1,99.6
01005,95958,13821,23167,33865,45227,41063,63750,0.0,3.5,18.3,10.9,15.6,15.3,46.7,18,32.1
01007,104812,7819,28047,41856,45841,51563,68886,1.9,4.5,15.4,9.6,24.1,20.6,57.7,10.8,27.6
01008,78022,7883,-,40714,36750,60089,66667,2.1,8.4,17.7,9.0,17.0,11.5,63.1,10.1,22.9
01009,63485,28287,-,10458,46250,20486,-,15.4,0.0,37.5,0.0,20.0,0.0,33.6,24.7,41.7
01010,97098,10358,23365,32463,42407,62344,74911,2.0,4.2,18.0,14.7,18.7,18.3,55.9,13,26.2
01011,81255,7770,46250,36774,35625,44500,77143,2.1,7.2,20.9,11.3,13.7,6.1,56.5,8.6,30.3
01012,84295,11591,41667,35938,35313,53750,37083,1.0,4.6,16.4,10.2,20.5,17.6,48.3,19.8,26.3
01013,51896,2685,21007,30812,35277,41810,46034,6.9,12.5,18.4,9.3,10.5,7.0,35.5,10.4,45.4
01020,70312,4128,30112,36104,41738,59500,61607,4.6,7.5,21.9,13.4,10.0,6.1,46.3,13.3,30.8
01022,52876,6246,-,36400,31705,41333,65172,0.7,4.6,25.5,10.7,15.0,12.6,22.8,22.2,43.1
01026,63905,7164,-,30893,31384,25750,42500,0.4,1.8,21.4,3.2,24.2,18.2,45.9,20.9,21.8
01027,76759,6297,53529,36102,39475,45321,48372,1.5,3.3,16.5,12.5,22.7,12.8,46.7,11.7,32.3
01028,100964,6880,-,30342,43325,61517,68606,2.2,3.4,17.4,11.2,24.2,18.5,53.2,9.2,28.1
01029,71700,16285,43646,23036,29813,85625,60104,0.3,8.5,23.5,5.0,17.0,13.0,48.8,8.7,32.5
01030,86111,5849,40388,43080,40500,56941,73112,1.7,4.3,18.4,12.1,21.2,10.1,55.6,9.2,29.5
01031,59757,11002,-,25417,39063,38929,-,0.7,6.9,16.3,11.0,21.4,7.1,46.5,12,37.6
01032,82706,11860,6250,41346,43409,53750,50438,0.0,2.7,12.8,11.2,22.2,27.7,67.7,6.8,20.3
01033,102005,14712,18958,50446,40811,54267,59239,3.2,4.2,15.7,8.7,23.6,14.8,54.7,12.2,24.8
01034,94806,7123,30313,37083,50529,68684,83214,0.6,4.4,18.3,9.4,21.1,9.3,61.7,7.3,26.2
01035,92788,15660,-,36063,31307,51667,54219,1.5,2.2,16.3,8.4,23.2,21.5,47.2,10.3,32.2
01036,102875,11399,27396,36047,54018,83269,64536,1.3,5.1,15.2,12.8,18.3,17.5,57.8,14.7,21.4
01037,98300,19132,-,-,55250,-,100313,0.0,0.0,14.5,11.2,20.1,19.0,48.5,5.9,43.4
01038,85687,7495,-,39844,46108,47414,48281,0.4,1.1,13.0,11.7,20.6,16.8,59.2,9,25.3
01039,104104,16448,-,19167,41548,44095,71750,1.2,3.0,15.6,10.8,24.4,31.8,45.6,16.2,31.1
01040,56014,2686,16196,30464,33491,45435,56702,9.8,11.2,18.2,7.4,14.8,9.4,33.1,10.3,48.6
01050,76940,7570,40673,41983,35398,26694,57500,0.8,4.9,20.8,12.4,18.8,8.9,55.6,9.9,29.6
01053,83369,19111,-,30156,-,44375,61250,0.9,3.6,14.8,8.3,21.4,25.2,36.2,18.5,34
01054,116108,13472,14583,49375,29167,40417,55417,0.6,2.2,12.1,5.6,26.0,38.9,62.3,8.7,24.6
01056,85309,7135,32143,39310,48314,60625,62404,7.3,9.0,16.4,9.8,16.2,7.6,51.8,8.8,29.7
01057,88287,4754,31453,41862,45662,61094,72182,3.3,4.8,21.7,10.0,15.3,11.1,52.5,12.7,29.4
01060,84681,7558,13942,25809,37040,36521,60901,2.2,2.4,11.8,7.2,27.3,34.5,31.8,11.9,50.6
01062,94257,8674,8393,36912,37500,49423,64833,2.2,4.1,13.8,7.5,24.0,29.8,47.2,11.3,34
01063,-,**,-,-,-,-,-,0.0,0.0,100.0,0.0,0.0,0.0,0,0,100
01066,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,100.0,0,100,0
01068,94425,6459,38750,37375,41250,52917,67019,1.0,4.9,18.9,11.3,22.2,12.9,55.6,10.4,28.9
01069,78030,6759,24194,28502,36875,50673,64063,1.8,5.6,21.4,11.8,19.0,10.3,47.3,12.3,31.2
01070,70784,10350,15625,31458,25417,25000,58125,0.2,4.4,16.7,10.5,19.0,26.8,53.4,13.1,27.2
01071,78183,7591,-,34559,45577,52981,52813,1.4,2.7,12.7,11.7,18.5,13.0,60.9,7.7,26
01072,84523,8072,-,35139,30125,36776,61023,0.3,1.7,13.2,5.4,27.3,38.5,49,13.7,32.6
01073,112179,16056,-,41576,41162,66037,85250,0.3,5.3,16.9,9.8,18.7,19.1,57.8,9.7,24.7
01074,64004,18860,-,38774,-,-,-,0.0,15.0,19.5,0.0,14.6,0.0,24.5,31.3,44.2
01075,82226,5329,33094,38909,39420,48412,63056,2.1,4.3,17.7,12.0,20.5,20.0,39.4,12.6,40.3
01077,96061,7369,27420,45785,39631,51570,69736,3.6,6.8,19.1,11.5,17.7,17.3,62.8,7.8,21.3
01079,57065,33649,-,-,-,-,-,0.0,7.3,20.9,2.3,31.6,3.1,33.1,15.5,20.6
01080,63397,11118,-,31450,52639,40455,56167,1.9,7.6,20.3,6.9,12.9,3.8,44,13.1,36.2
01081,65400,6956,-,31591,40000,45278,63558,2.1,4.4,22.2,14.1,11.6,6.8,56.7,10.8,25.1
01082,65600,4375,-,36166,42353,59670,63365,2.3,6.0,17.1,10.1,14.6,7.2,47.7,11.9,32.5
01083,68089,11742,-,23899,38693,85216,-,0.7,5.8,18.1,12.0,17.5,2.3,51,10.8,30.7
01084,106546,41140,-,26875,-,-,65469,0.0,2.2,0.0,4.4,22.8,39.7,59.6,11.5,23.1
01085,77265,2821,34016,36345,37820,51573,68592,3.1,4.7,19.0,10.4,21.1,11.0,43.9,10.1,37.2
01086,-,**,-,-,-,-,-,-,-,-,-,-,-,0,0,100
01088,58218,11162,-,50000,29191,67740,73333,3.4,7.1,7.5,17.4,24.5,7.8,37.7,19,36.3
01089,68964,3885,21868,30480,32138,58839,60954,4.0,6.7,19.7,10.5,18.1,13.0,43.4,13,34.8
01092,82155,18282,-,51400,41774,61402,-,0.0,9.3,6.3,22.6,29.0,1.8,40.1,6.2,36.1
01093,135457,42065,-,26750,42188,42143,66250,0.0,5.3,9.0,6.8,35.0,25.6,56.7,10,27.3
01094,54306,19867,-,-,-,-,66042,10.6,2.3,16.3,16.3,15.9,8.7,41.4,16.1,20.7
01095,123474,11442,30605,44345,43443,62246,67721,2.0,3.6,16.6,10.1,25.7,17.4,54.8,10.7,28.1
01096,91384,10775,-,33050,44524,45000,61771,0.3,5.5,15.2,11.7,23.5,16.9,56.6,9.7,28.2
01097,27435,16452,-,-,-,-,-,0.0,38.1,0.0,0.0,14.3,0.0,25,0,60.7
01098,90580,9153,-,48333,39583,56667,57083,1.0,4.2,15.9,11.8,21.8,14.8,46.7,14.8,28.3
01103,35253,7240,-,23643,29537,52031,62232,16.2,16.4,24.1,7.1,8.0,13.8,22,17.2,51.2
01104,48786,4724,21996,29348,31108,40278,40905,10.9,14.4,16.7,9.1,7.9,4.7,29.8,13.4,45.9
01105,33611,6382,21035,18266,25244,26492,68333,19.3,14.4,16.7,6.0,6.3,5.8,20.7,14.2,54.1
01106,150366,11878,-,35500,34792,66728,86808,1.6,2.0,12.9,6.1,29.3,36.1,61.5,6.8,24.5
01107,42935,4799,17360,31188,21250,51821,94432,23.0,22.0,16.6,5.1,8.1,3.5,27.6,10.2,54
01108,52337,2557,19757,28419,32456,35737,57857,10.4,14.3,18.5,7.9,9.2,9.1,31,12.3,50.3
01109,45831,2510,21491,31383,32417,32150,50417,10.2,11.9,20.3,8.2,9.7,5.4,22.6,10.2,58.7
01118,74068,5357,32759,33942,36723,52384,64398,3.8,6.1,19.1,11.0,19.1,12.3,45.2,8.9,36.9
01119,58957,4586,26042,31744,33702,50545,51333,6.6,9.2,23.0,10.0,14.1,7.2,33.5,9.7,47
01128,86874,13946,-,32206,33846,54875,59028,5.8,1.8,21.6,12.6,16.4,8.9,55.9,8.6,26.9
01129,72225,5206,33229,33534,33762,58418,51994,3.7,7.0,21.2,11.2,16.4,12.0,48.3,9.5,33.3
01151,48996,4233,23311,24375,30889,31813,52500,7.0,13.5,17.1,11.5,9.8,3.9,30,12.6,47.6
01199,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01201,66779,3020,20650,31724,31746,44125,57456,3.5,6.3,20.2,11.3,17.5,11.3,42.7,13.8,34.6
01220,62272,3647,27067,33389,36320,40750,53712,3.7,8.1,18.2,8.0,14.0,8.6,49.1,13,30.9
01222,88815,26103,31786,36379,37155,55694,159310,1.1,10.3,13.7,10.6,15.6,9.2,43.2,24.2,27.1
01223,88653,5875,27143,39813,35398,53125,38542,1.2,4.9,20.4,9.8,14.7,16.8,56.5,13.8,24.4
01224,37458,12666,-,-,-,-,-,6.7,5.1,21.3,20.2,5.1,0.0,53.6,27.3,19.1
01225,75573,9712,27000,32095,40281,46875,60125,1.3,5.2,25.5,11.2,13.6,7.5,55,14.1,24.3
01226,78270,9228,57344,26934,29811,66771,57875,0.2,4.4,21.4,10.7,24.6,11.2,47.6,16.2,26.3
01229,31869,14666,-,-,-,-,-,16.3,0.0,26.7,7.0,9.3,5.8,25.6,37.2,9.3
01230,89428,8381,19142,30248,35617,60912,52244,3.7,5.1,14.2,7.2,18.5,22.9,41.2,14.4,35.5
01235,78696,7122,33355,31969,31354,44792,89238,0.3,5.7,14.8,9.3,18.9,13.0,55,11.9,26.6
01236,92254,23650,-,17976,-,49013,42917,2.1,7.1,18.4,2.6,13.5,37.5,49.6,8.2,32.6
01237,91177,9845,45625,37242,42788,42500,40729,0.7,3.3,13.2,14.1,22.5,17.8,61.4,11.8,21.4
01238,82742,7784,20933,31068,31678,49432,53370,4.0,5.5,22.9,7.5,16.4,16.2,52.5,11.4,27.9
01240,108281,15368,-,34267,42466,50791,66083,1.7,2.3,13.8,8.3,26.6,27.2,49.8,10.1,25.9
01242,80038,19626,-,-,-,20568,-,0.3,0.0,10.4,10.7,39.1,15.9,47.3,15.2,33.5
01243,102865,31580,-,29083,35417,83125,105357,2.3,0.0,31.8,9.2,14.1,11.1,75,9.6,9.6
01244,72605,38238,-,-,-,-,-,9.2,0.0,14.3,0.0,30.6,15.3,50,10.2,21.4
01245,95950,14095,19500,36250,31818,30417,63182,2.8,1.2,13.6,7.9,30.6,23.4,56.9,11.7,26.3
01247,56405,3899,22013,30350,29836,40048,52047,4.8,9.9,17.6,6.8,15.1,9.3,38.9,15.9,35.8
01253,93233,11685,60625,32969,42500,60000,61250,1.2,5.0,19.7,10.4,14.8,18.4,60.8,14,18.7
01254,139701,26210,-,35893,45833,31974,100417,0.7,4.1,12.4,15.7,26.2,25.0,64.7,9.9,17.5
